測站代碼,測站名稱,要素名稱,起始時間,結束時間,實際資料筆數,應有資料筆數,資料存續%
466990,花蓮,測站氣壓(hPa),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,海平面氣壓(hPa),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,乾球氣溫(℃),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,平均露點溫度(℃),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,平均相對濕度( %),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,平均風風速(m/s),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,平均風風向(360°),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,瞬間極大風風速(m/s),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,瞬間極大風風向(360°),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,累積雨量(mm),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,降雨時數(hr),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,全天空日射量(MJ/㎡),2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,紫外線指數,2024/11/01/00,2024/11/17/23,408,408,100%
466990,花蓮,地中溫度0cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,地中溫度5cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,地中溫度10cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,地中溫度20cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,地中溫度30cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,地中溫度50cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,地中溫度100cm(℃),2024/11/01/00,2024/11/17/23,68,408,16%
466990,花蓮,日照時數(hr),2024/11/01/00,2024/11/17/23,238,408,58%
466990,花蓮,能見度(Km),2024/11/01/00,2024/11/17/23,85,408,20%
466990,花蓮,總雲量(0-10),2024/11/01/00,2024/11/17/23,85,408,20%
